Dealer Code,Name,Target 202404,Sale upto 15.04.2024
9121004016,SHRI RAM AGRO,600,229.5
9121004021,SHIV SHAKTI CEMENT DEPOT,117,42.5
9121004023,ROYAL STEEL FURNITURE,968,162
9121004027,SIDDHNATH CEMENT AGENCY,127,12
9121004029,SHREE VISHWAKARMA SALES AGENCY,130,20.5
9121004033,SHIV STEEL CORPORATION,343,85
9121004034,SAJID CEMENT SUPPLIERS,563,151
9121004038,VALA RAMESHKUMAR JAGJIVANDAS,38,7.5
9121004043,VARSHA CEMENT CORPORATION,578,5
9121004044,VIRAL TRADING CO.,350,110.5
9121004045,VISHAL CEMENT AGENCY,84,40
9121004047,SORATH STEELS,50,1.25
9121004052,SHREE LAXMI STEEL TRADERS,450,73
9121004061,TULSI ENTERPRISE,55,18
9121004064,SHRI RUPAMKRUPA TRADERS,117,35
9121004067,VISHAT TRADERS,45,10
9121004073,SHUBHAM CORPORATION,65,14
9121004076,SOMALAL SALES,150,24
9121004078,SAMLIYA TRADING CO.,115,63
9121004080,SHRI GANESH TRADERS,110,27.5
9121004088,TRISHUL HARDWARE,197,108
9121004090,THAKKAR TRADING COMPANY,1455,475.5
9121004097,SHREE VINAY TRADERS,120,15
9121004108,PRAKASH TRADERS,125,61.5
9121004110,PAVAN CEMENT AGENCY,481,166.5
9121004134,SATKAR TRADING CO.,31,10
9121004136,SHARDA CEMENT DEPOT,63,7.5
9121004139,S.K.MARBLES & STONE SUPPLIERS,135,26.5
9121004142,SHAH DUSHYANTKUMAR ZAVERLAL,409,18
9121004148,SHRI KHODIYAR TRADERS(DARIAPUR,55,6
9121004151,SHRINATHJI TRADERS,408,105
9121004153,SAHAKAR CEMENT TRADERS,140,91.5
9121004159,SHREE RAM TRADERS,125,16
9121004171,SHRI RANG SANITARY,143,6.5
9121004172,SHREEJI TRADERS,104,28
9121004175,SHREE SHIVSHAKTI TRADERS,112,36
9121004179,VISHNU CEMENT DEPOT,75,54
9121004190,SHREE BAHUCHARAJI ENTERPRISE,115,43.5
9121004192,SHREENATH TRADERS,115,43
9121004194,PATEL DINESHKUMAR SENDHABAI,155,45
